a,b,theta,R3,R4,A1,A2,status
7.3,5.9,25.5,2.1,1.9,0,0,NotYet
7.3,5.9,25.5,2.1,1.9,-0.2,0,NotYet
7.3,5.9,25.5,2.1,1.9,-0.4,0,NotYet
7.3,5.9,25.5,2.1,1.9,-0.6,0,NotYet
7.3,5.9,25.5,2.1,1.9,-0.8,0,NotYet
7.3,5.9,25.5,2.1,1.9,-1,0,NotYet
7.3,5.9,25.5,2.1,1.9,0.2,0,NotYet
