a,b,theta,R3,R4,A1,A2,status
7.3,5.8,25.5,2.2,2.1,0,0,NotYet
7.3,5.8,25.5,2.2,2.1,-0.1,0,NotYet
7.3,5.8,25.5,2.2,2.1,-0.2,0,NotYet
7.3,5.8,25.5,2.2,2.1,-0.3,0,NotYet
7.3,5.8,25.5,2.2,2.1,-0.4,0,NotYet
