a,b,theta,R3,R4,A1,A2,status
7.3,5.9,25.5,2.1,1.9,0,0,NotYet
7.3,5.9,25.5,2.1,1.9,0,-0.2,NotYet
7.4,5.9,25.5,2.1,1.9,0,-0.4,NotYet
7.4,5.9,25.5,2.1,1.9,0,-0.6,NotYet
7.4,5.9,25.5,2.1,1.9,0,-0.8,NotYet
7.4,5.9,25.5,2.1,1.9,0,-1,NotYet
